Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
公寓,25.08,22.95,40.0,0.0,0.0,1.0,0.0,小港區,495.0,3.0,2.0,2.0,4,5
公寓,27.94,22.98,39.0,0.0,0.0,0.0,0.0,鳳山區,536.0,3.0,2.0,2.0,2,5
透天厝,61.98,50.08,21.0,0.0,1.0,1.0,0.0,前鎮區,1980.0,4.0,2.0,4.0,All,4
電梯大樓,36.78,17.16,14.0,0.0,1.0,1.0,0.0,鳳山區,1588.0,2.0,1.0,1.0,13,15
透天厝,47.25,40.88,38.0,0.0,0.0,0.0,0.0,左營區,1398.0,4.0,2.0,3.0,All,3
電梯大樓,27.55,17.06,28.0,0.0,0.0,0.0,1.0,左營區,798.0,2.0,2.0,1.0,13,22
公寓,20.0,20.0,42.0,0.0,0.0,1.0,0.0,三民區,688.0,4.0,2.0,2.0,2,5
電梯大樓,58.66,23.51,4.0,0.0,1.0,1.0,0.0,鳳山區,1798.0,3.0,2.0,2.0,4,15
電梯大樓,54.21,24.2,0.5,0.0,0.0,0.0,0.0,左營區,2398.0,3.0,2.0,2.0,12,12
電梯大樓,32.08,21.74,26.0,0.0,0.0,0.0,1.0,三民區,798.0,3.0,2.0,2.0,5,24
電梯大樓,36.4,22.0,8.0,0.0,1.0,1.0,0.0,鳳山區,1298.0,3.0,2.0,2.0,2,10
電梯大樓,47.81,29.0,26.0,1.0,1.0,1.0,0.0,三民區,1360.0,4.0,2.0,2.0,3,14
電梯大樓,82.74,42.97,12.0,0.0,1.0,1.0,0.0,三民區,3300.0,4.0,2.0,2.0,14,24
透天厝,61.0,50.0,20.0,0.0,0.0,1.0,0.0,三民區,1980.0,4.0,2.0,4.0,All,4
透天厝,148.15,137.26,24.0,0.0,0.0,1.0,0.0,鳳山區,7380.0,5.0,3.0,9.0,6,6
公寓,28.26,21.29,40.0,0.0,0.0,0.0,1.0,左營區,398.0,3.0,2.0,2.0,5,5
電梯大樓,61.98,31.67,3.0,0.0,0.0,0.0,0.0,左營區,1890.0,2.0,2.0,3.0,1,15
電梯大樓,43.58,19.15,20.0,0.0,1.0,0.0,1.0,三民區,1986.0,3.0,2.0,2.0,10,34
電梯大樓,34.93,24.75,35.0,0.0,0.0,0.0,1.0,三民區,698.0,3.0,2.0,2.0,7,7
公寓,61.57,26.62,3.0,0.0,1.0,1.0,0.0,楠梓區,2585.0,3.0,2.0,2.0,23,28
公寓,34.65,14.23,8.0,0.0,1.0,1.0,0.0,楠梓區,980.0,2.0,2.0,1.0,11,15
電梯大樓,45.23,26.46,30.0,0.0,1.0,1.0,1.0,左營區,798.0,3.0,2.0,2.0,6,17
電梯大樓,55.68,32.83,24.0,0.0,1.0,1.0,1.0,左營區,1818.0,4.0,2.0,2.0,7,9
電梯大樓,25.52,17.32,27.0,0.0,0.0,1.0,1.0,楠梓區,640.0,2.0,2.0,1.0,10,24
電梯大樓,46.22,21.97,20.0,0.0,0.0,0.0,0.0,左營區,1398.0,3.0,2.0,2.0,14,15
電梯大樓,64.12,32.17,8.0,0.0,1.0,0.0,0.0,三民區,1777.0,4.0,2.0,2.0,3,15
電梯大樓,37.4,21.17,27.0,1.0,1.0,1.0,0.0,左營區,1388.0,3.0,2.0,2.0,21,22
電梯大樓,41.71,23.83,17.0,0.0,1.0,1.0,0.0,鼓山區,1320.0,3.0,2.0,2.0,7,14
電梯大樓,39.76,26.58,30.0,0.0,0.0,1.0,1.0,左營區,1228.0,3.0,2.0,2.0,8,19
電梯大樓,42.65,21.42,0.0833333333333333,0.0,1.0,0.0,0.0,三民區,1398.0,3.0,2.0,2.0,14,15
電梯大樓,28.0,19.0,30.0,0.0,0.0,1.0,1.0,左營區,728.0,3.0,2.0,2.0,3,8
電梯大樓,61.28,30.86,12.0,0.0,1.0,0.0,0.0,鼓山區,1988.0,4.0,2.0,2.0,2,15
電梯大樓,56.0,23.04,7.0,0.0,0.0,0.0,0.0,楠梓區,2088.0,2.0,2.0,2.0,14,15
